index,day,theme,scenario,hook_line_1,hook_line_2,voice_tone,pillar
1,Day 1,Leitungswasser,Wasserrohrbruch 3 Uhr nachts,Dein Rohr platzt um 3 Uhr morgens.,Provinzial nimmt's auf.,familie,Schaden & Service
2,Day 2,Leitungswasser,Nachbar überflutet Boden,Der Nachbar überflutet deinen Boden.,Wir kümmern uns trotzdem.,familie,Schaden & Service
3,Day 3,Leitungswasser,Schimmel im Bad keiner zuständig,Schimmel im Bad — keiner ist zuständig.,Wir klären das.,reif,Schaden & Service
4,Day 4,Leitungswasser,Wasserschaden Hochzeitsreise,Wasserschaden während der Hochzeitsreise.,Wir sind schon dran.,familie,Schaden & Service
5,Day 5,Leitungswasser,Erster Wasserschaden mit 28,Erster Wasserschaden mit 28.,Provinzial bleibt ruhig.,leicht,Schaden & Service
6,Day 6,Einbruch,Einbrecher schneller als Polizei,Der Einbrecher war schneller als die Polizei.,Wir kümmern uns trotzdem.,ernst,Schaden & Service
7,Day 7,Einbruch,Einbruch im Urlaub Schock,Eingebrochen im Urlaub. Schock beim Heimkommen.,Wir sind schon da.,ernst,Schaden & Service
8,Day 8,Einbruch,Aufgebrochen was versichert,Aufgebrochen — was zählt wirklich versichert?,Provinzial weiß es.,ernst,Schaden & Service
9,Day 9,Einbruch,Schmuck weg Schubladen offen,"Schmuck weg, Schubladen offen.",Wir nehmen's auf.,ernst,Schaden & Service
10,Day 10,Wildunfall,Reh vor Auto in der Nacht,Reh springt vor's Auto. Mitten in der Nacht.,Provinzial nimmt's auf.,ernst,Schaden & Service
11,Day 11,Wildunfall,Wildunfall Landstraße,Wildunfall auf der Landstraße.,Wir kümmern uns sofort.,ernst,Schaden & Service
12,Day 12,Wildunfall,Wild schneller als Bremse,Wild war schneller als deine Bremse.,Wir machen das.,ernst,Schaden & Service
13,Day 13,Wildunfall,Nach dem Wildunfall was jetzt,Nach dem Wildunfall: was jetzt?,Provinzial führt dich durch.,reif,Schaden & Service
14,Day 14,Hagelschaden,Hagel 10 Minuten Auto wie Mond,Hagel in zehn Minuten. Auto wie Mond.,Wir kümmern uns.,familie,Schaden & Service
15,Day 15,Hagelschaden,Hagelsturm wann melden,Hagelsturm — wann sollte ich melden?,Sofort. Wir sind da.,reif,Schaden & Service
16,Day 16,Hagelschaden,Hagelbeulen ganzer Wagen,Hagelbeulen am ganzen Wagen.,Provinzial bleibt ruhig.,reif,Schaden & Service
17,Day 17,Haftpflicht,Kind wirft Ball ins Nachbarauto,Kind wirft Ball ins Nachbarauto.,Wir kümmern uns trotzdem.,familie,Schaden & Service
18,Day 18,Haftpflicht,Hund beißt Briefträger,Hund beißt den Briefträger.,Provinzial nimmt's auf.,leicht,Schaden & Service
19,Day 19,Haftpflicht,Glas umgekippt Restaurant,Glas umgekippt im Restaurant.,Wir klären das.,leicht,Schaden & Service
20,Day 20,Haftpflicht,Schlüssel verloren Schließanlage,Schlüssel weg — Schließanlage neu?,Wir kümmern uns.,reif,Schaden & Service
21,Day 21,Haftpflicht,Umzug Möbel beschädigt,Beim Umzug Möbel beschädigt.,Provinzial bleibt ruhig.,familie,Schaden & Service
22,Day 22,Fahrraddiebstahl,Fahrrad weg Schloss dran,Fahrrad weg. Schloss noch dran.,Wir kümmern uns trotzdem.,leicht,Schaden & Service
23,Day 23,Fahrraddiebstahl,Vor Bahnhof geklaut,Vor dem Bahnhof geklaut — wieder mal.,Provinzial nimmt's auf.,leicht,Schaden & Service
24,Day 24,Fahrraddiebstahl,E-Bike über Nacht spurlos,Dein E-Bike. Über Nacht. Spurlos.,Wir machen das.,reif,Schaden & Service
25,Day 25,Fahrraddiebstahl,Rad weg im Urlaub,Rad weg im Urlaub. Und jetzt?,Wir sind schon dran.,leicht,Schaden & Service
26,Day 26,Sturm,Sturm reißt Dachziegel,Sturm hat Dachziegel mitgenommen.,Provinzial nimmt's auf.,reif,Schaden & Service
27,Day 27,Sturm,Baum auf Carport Sturmnacht,Baum auf dem Carport. Sturmnacht.,Wir kümmern uns.,ernst,Schaden & Service
28,Day 28,Sturm,Sturmschaden Februar 2026,Sturmschaden im Februar. Wirklich.,Wir sind schon da.,reif,Schaden & Service
29,Day 29,Sturm,Wind reißt Markise,Wind hat die Markise zerrissen.,Provinzial bleibt ruhig.,familie,Schaden & Service
30,Day 30,Sturm,Hausrat oder Gebäude nach Sturm,Nach dem Sturm: Hausrat oder Gebäude?,Wir klären das.,reif,Schaden & Service
