index,day,theme,scenario,solution_voiceover,cta_voiceover,voice_tone,pillar
1,Day 1,Leitungswasser,Wasserrohrbruch 3 Uhr nachts,"Atme durch. Du machst ein Foto, meldest in der App — wir übernehmen ab Minute eins. Trockner kommt, Handwerker auch. Du musst nichts allein machen.","Lass uns gemeinsam schauen, was bei dir wirklich passt.",familie,Schaden & Service
2,Day 2,Leitungswasser,Nachbar überflutet Boden,"Ruhig bleiben. Foto vom Schaden, kurz bei uns melden — wir klären, wer zahlt. Du musst nicht selbst mit dem Nachbarn streiten. Das machen wir.",Komm bei uns vorbei — wir nehmen uns Zeit für dich.,familie,Schaden & Service
3,Day 3,Leitungswasser,Schimmel im Bad keiner zuständig,"Erst sortieren. Du fotografierst die Stellen, wir prüfen Vertrag und Verantwortung. Vermieter oder Versicherung — wir klären das ohne Stress. Du bekommst eine klare Antwort, schriftlich.",Schauen wir deinen Schutz in einem ruhigen Gespräch an.,reif,Schaden & Service
4,Day 4,Leitungswasser,Wasserschaden Hochzeitsreise,"Erstmal weiteratmen. Du schickst uns ein Foto, wir starten alles parallel — Wohnung trocknen, Handwerker rein. Wenn ihr zurückkommt, ist die schlimmste Phase vorbei. Versprochen.","Plant euren Schutz mit uns — entspannt, ohne Druck.",familie,Schaden & Service
5,Day 5,Leitungswasser,Erster Wasserschaden mit 28,"Kein Drama. Du machst Fotos, meldest in der App — wir erklären jeden Schritt. Erster Schaden im Leben? Kein Problem. Wir gehen das gemeinsam durch, ganz in Ruhe.","Schreib uns einfach — wir antworten, wenn du Zeit hast.",leicht,Schaden & Service
6,Day 6,Einbruch,Einbrecher schneller als Polizei,"Atme tief durch. Polizei anrufen, dann uns — wir kümmern uns um alles andere. Schloss tauschen, Schäden aufnehmen, Geld vorstrecken wenn nötig. Du bist nicht allein.","Komm vorbei, wir nehmen uns Zeit für deine Fragen.",ernst,Schaden & Service
7,Day 7,Einbruch,Einbruch im Urlaub Schock,"Erstmal hinsetzen. Du machst nur Fotos — wir übernehmen alles weitere. Schloss, Inventarliste, Versicherung. Du musst jetzt nicht funktionieren. Wir sind schon dran, bis es wieder geht.","Meld dich, wenn du soweit bist — wir warten geduldig.",ernst,Schaden & Service
8,Day 8,Einbruch,Aufgebrochen was versichert,"Klar erklärt. Hausrat zahlt für deine Sachen, Gebäude für die Tür. Wir gehen mit dir Punkt für Punkt durch deinen Vertrag. Keine Überraschungen, nur klare Antworten.",Schau bei uns vorbei — wir nehmen uns die Zeit.,ernst,Schaden & Service
9,Day 9,Einbruch,"Schmuck weg, Schubladen offen","Ein Schritt nach dem anderen. Fotos vom Zustand, Liste der Sachen, Anzeige machen — wir helfen bei jedem Punkt. Schmuck mitversichert, sofern dein Tarif passt. Schauen wir gemeinsam.",Lass uns deinen Schutz einmal gemeinsam in Ruhe ansehen.,ernst,Schaden & Service
10,Day 10,Wildunfall,Reh vor Auto in der Nacht,"Warnblinker an. Polizei rufen, Foto vom Schaden, kurz uns informieren — wir übernehmen den Rest. Abschleppdienst, Werkstatt, Ersatzwagen. Du fährst trotzdem morgen weiter, ohne Stress.","Schauen wir deinen Schutz gemeinsam an — du fragst, wir antworten.",ernst,Schaden & Service
11,Day 11,Wildunfall,Wildunfall Landstraße,"Ruhig handeln. Unfallstelle absichern, Wildschaden bestätigen lassen — wir kümmern uns um Werkstatt und Abrechnung. Du brauchst nur ein Foto und einen kurzen Anruf, mehr nicht.",Komm vorbei — wir besprechen deinen Schutz ganz entspannt.,ernst,Schaden & Service
12,Day 12,Wildunfall,Wild schneller als Bremse,"Erstmal anhalten. Warndreieck, Polizei, Foto — dann uns kurz Bescheid geben. Werkstatt rein, Ersatzwagen raus. Wir kennen jede Werkstatt in deiner Region. Du bist schnell wieder mobil.","Bei uns im Büro: kurze Frage, klare Antwort, kein Druck.",ernst,Schaden & Service
13,Day 13,Wildunfall,Nach dem Wildunfall was jetzt,"Drei Schritte. Wildunfallbescheinigung holen, Schaden bei uns melden, Werkstatt fährt los. Wir begleiten den Vorgang bis zur Abrechnung. Du musst nicht alles selbst recherchieren. Das ist unser Job.",Schauen wir deinen Vertrag einmal in Ruhe miteinander durch.,reif,Schaden & Service
14,Day 14,Hagelschaden,Hagel 10 Minuten Auto wie Mond,"Klar denken. Foto vom Wagen, kurz uns melden — wir bringen ihn in die nächste Werkstatt. Ersatzauto steht parat, damit dein Familienleben weiterläuft. Kein Termin verpasst, kein Stress.","Schau vorbei, wenn ihr mal sprechen wollt — wir sind da.",familie,Schaden & Service
15,Day 15,Hagelschaden,Hagelsturm wann melden,"Sofort melden — wirklich. Foto vom Schaden, ein Anruf, fertig. Je früher du Bescheid sagst, desto schneller läuft die Abwicklung. Wir kümmern uns ab Minute eins, ohne Wartezeiten.",Komm bei uns vorbei — wir nehmen uns die nötige Zeit.,reif,Schaden & Service
16,Day 16,Hagelschaden,Hagelbeulen ganzer Wagen,"Ruhe bewahren. Du fotografierst die Beulen, wir holen die Werkstatt-Termine ein. Smart-Repair oder Komplettlackierung — wir empfehlen, was sich für dich rechnet. Klare Sache, keine Wartezeit.",Komm vorbei — wir gehen deine Optionen einmal gemeinsam durch.,reif,Schaden & Service
17,Day 17,Haftpflicht,Kind wirft Ball ins Nachbarauto,"Kein Streit. Du sagst dem Nachbarn Bescheid, wir regeln den Rest mit der Werkstatt. Privathaftpflicht zahlt — kein schlechtes Gewissen nötig. Kinder bleiben Kinder, das wissen wir.",Schau vorbei — wir checken euren Familienschutz gemeinsam in Ruhe.,familie,Schaden & Service
18,Day 18,Haftpflicht,Hund beißt Briefträger,"Erstmal entschuldigen. Du nimmst die Daten auf, meldest dich kurz bei uns — Hundehalterhaftpflicht greift. Arztkosten, Schmerzensgeld, alles geregelt. Du musst dich nicht streiten, wir übernehmen die Kommunikation.",Lass uns deinen Schutz für Hund und Halter gemeinsam ansehen.,leicht,Schaden & Service
19,Day 19,Haftpflicht,Glas umgekippt Restaurant,"Kleine Sache. Du sagst Bescheid, machst ein Foto vom Schaden — Privathaftpflicht zahlt. Kein Streit mit dem Wirt, keine peinliche Diskussion. Ein Anruf bei uns, und es ist erledigt.",Komm gern vorbei — wir kennen unsere Region und deine Fragen.,leicht,Schaden & Service
20,Day 20,Haftpflicht,Schlüssel verloren Schließanlage,"Erstmal ruhig. Du meldest den Verlust, wir prüfen Vertrag und Verantwortung. Schließanlage neu — Privathaftpflicht zahlt, sofern abgedeckt. Wir holen Angebote ein und begleiten dich bis zur Abrechnung.",Komm bei uns vorbei — wir schauen deinen Vertrag in Ruhe an.,reif,Schaden & Service
21,Day 21,Haftpflicht,Umzug Möbel beschädigt,"Foto, weiterpacken. Du meldest in der App, wir regeln den Rest mit Helfern und Spedition. Privathaftpflicht greift. Ihr zieht trotzdem heute ein, ganz entspannt.",Schau vorbei — wir nehmen uns Zeit für eure Fragen.,familie,Schaden & Service
22,Day 22,Fahrraddiebstahl,Fahrrad weg Schloss dran,"Schnell handeln. Du machst Anzeige, schickst uns das Foto vom Schloss — Hausrat zahlt bei aufgebrochenem Rad. Wir regeln die Abrechnung, du suchst bald ein neues.",Komm vorbei — wir gehen deinen Hausratschutz gemeinsam durch.,leicht,Schaden & Service
23,Day 23,Fahrraddiebstahl,Vor Bahnhof geklaut,"Pech gehabt. Du machst die Anzeige, wir prüfen deinen Hausrattarif — Fahrraddiebstahl ist oft mitversichert. Ein Anruf, ein Foto, wir starten die Abwicklung. Bahnfahren musst du trotzdem, leider.",Lass uns deinen Tarif gemeinsam ansehen — kurzer Termin reicht.,leicht,Schaden & Service
24,Day 24,Fahrraddiebstahl,E-Bike über Nacht spurlos,"Klare Schritte. Polizei-Anzeige, Rechnung und Schlüssel parat, Schaden melden. E-Bike-Zusatzschutz greift, sofern du ihn hast. Wir prüfen, regeln, melden uns mit der Auszahlung.",Schauen wir deinen Zusatzschutz einmal in Ruhe gemeinsam an.,reif,Schaden & Service
25,Day 25,Fahrraddiebstahl,Rad weg im Urlaub,"Ruhig bleiben. Du machst Anzeige vor Ort, schickst uns das Foto — Hausrat zahlt auch im Ausland, je nach Tarif. Wir kümmern uns, ihr macht entspannt weiter.",Komm vor dem Urlaub vorbei — wir checken deinen Schutz.,leicht,Schaden & Service
